pos;feat_attrs;norm;sublinear_tf;class_weight;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text'];l1;True;None;0.6624800080452578;0.6786077265948779;0.6702135465440593;0.6707928595701429;0.6638922873373266;0.6691972856183329;0.938998031616211;50
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text'];l1;False;None;0.660483605852279;0.6756436924793618;0.6658972298312551;0.6697809573170227;0.6595408111106611;0.666269259318116;1.0598266124725342;52
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text'];l2;True;None;0.6900498432653858;0.6981011586539306;0.6752002382344066;0.6970222271276463;0.6909899669252486;0.6902726868413236;1.034989023208618;13
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text'];l2;False;None;0.6870572231587093;0.6929289379276051;0.6780642207310349;0.6918103889729236;0.6928374065323386;0.6885396354645223;1.0389436721801757;18
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text'];l1;True;None;0.6644373745677675;0.6815754889500952;0.6702454093926682;0.668899884938904;0.6624263856558507;0.6695169087010572;1.060873556137085;48
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text'];l1;False;None;0.6610993231342412;0.678082456960303;0.6683086390861934;0.6702814973156063;0.6619412410999791;0.6679426315192647;1.0668013572692872;51
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text'];l2;True;None;0.6896076227811004;0.6961931851326632;0.6775850247281296;0.6999096512462376;0.693791749321163;0.6914174466418588;1.0697154521942138;9
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text'];l2;False;None;0.6867096893101373;0.6952231300378625;0.6789946183582155;0.696727416538526;0.6937513669200754;0.6902812442329633;1.0597490310668944;12
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text'];l1;True;balanced;0.697213776433598;0.7120346742170611;0.7062045441239009;0.7066676195981898;0.7015378001215063;0.7047316828988512;1.1238122463226319;1
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text'];l1;False;balanced;0.6943556145566222;0.7087460138892316;0.7013789504535995;0.7031525742407101;0.6974765700679765;0.701021944641628;1.1251514434814454;3
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text'];l2;True;balanced;0.6848210519837874;0.700825828327789;0.6903386311613874;0.691514604686848;0.6964529950399969;0.6927906222399617;1.0895338535308838;8
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text'];l2;False;balanced;0.68076807533953;0.7003544140257275;0.6841390207881402;0.6892430528229867;0.6966312904272319;0.6902271706807233;1.0889639377593994;14
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text'];l1;True;balanced;0.6956042810543246;0.7128930798655247;0.7057302965163139;0.7040863896787745;0.70182308253697;0.7040274259303814;1.1356874465942384;2
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text'];l1;False;balanced;0.6936670374489463;0.7082833028386148;0.7004458777988405;0.7027631795687328;0.6988410401306794;0.7008000875571627;1.1462472915649413;4
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text'];l2;True;balanced;0.6856454770182319;0.7000113037053555;0.69264037683105;0.6910826843627464;0.6953606504127179;0.6929480984660203;1.0901002407073974;7
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text'];l2;False;balanced;0.6815594102410903;0.6994674401585019;0.6877611605345765;0.6888022579038823;0.6975173258531462;0.6910215189382394;1.084346342086792;10
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma'];l1;True;None;0.6655405897332516;0.6591866993641726;0.6605322151829716;0.66345584824309;0.6546498761167135;0.6606730457280399;1.0634092807769775;54
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma'];l1;False;None;0.661262375143574;0.6563555637999863;0.6585777511317088;0.6610468750829236;0.6511907487852449;0.6576866627886876;1.0821004867553712;56
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma'];l2;True;None;0.6860600135958881;0.6701669234881623;0.6789499941263383;0.688319613428241;0.6803270140359678;0.6807647117349195;1.0402789115905762;27
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma'];l2;False;None;0.6822248810743465;0.6725967406965209;0.6736845505586352;0.6834729772870352;0.6744642483929533;0.6772886796018983;1.0461968898773193;35
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma'];l1;True;None;0.6685169694551594;0.6582705958593439;0.6605099669461355;0.6682689205611666;0.6561145360282135;0.6623361977700037;1.0656182765960693;53
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma'];l1;False;None;0.6660722330802321;0.6568104111512546;0.6605400630780818;0.6634854142718434;0.654605475475203;0.6603027194113229;1.0731426239013673;55
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma'];l2;True;None;0.686539620637846;0.6743940037767844;0.6746749488220075;0.6912862420875815;0.6794715713975734;0.6812732773443585;1.0334310054779052;25
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma'];l2;False;None;0.6836830445082114;0.6791662177773169;0.674074402545679;0.6886521581061622;0.6745346275111923;0.6800220900897124;1.0388515949249268;30
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma'];l1;True;balanced;0.6928336473820836;0.6916822905951263;0.6974102524722046;0.7001634633983375;0.6877566595077537;0.6939692626711012;1.0485584735870361;6
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma'];l1;False;balanced;0.686629899710869;0.6859615284793347;0.6920712647585122;0.6973858809310232;0.6867352911028662;0.6897567729965212;0.7095378875732422;16
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma'];l2;True;balanced;0.6806253101522087;0.674631961793811;0.6778286783404828;0.6886378685684394;0.6803851029757788;0.6804217843661442;0.6936378955841065;28
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma'];l2;False;balanced;0.676773722936728;0.6740690562907404;0.6753876285782955;0.6849799324868855;0.6776357628134748;0.6777692206212249;0.6982899188995362;34
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma'];l1;True;balanced;0.6941898501213377;0.6889698712599753;0.6963297735773631;0.7016881122557908;0.6886975076859606;0.6939750229800855;0.7164926052093505;5
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma'];l1;False;balanced;0.687484887383593;0.6825762089262413;0.6933259114606691;0.7010732030609491;0.6872208100939513;0.6903362041850808;0.710921049118042;11
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma'];l2;True;balanced;0.6817734748186436;0.674532097810539;0.6779194875471651;0.6904026719136702;0.6812287766919934;0.6811713017564023;0.6933406829833985;26
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma'];l2;False;balanced;0.6777166224818575;0.6710558340837199;0.6766441636653417;0.6880452073412743;0.6729735172207826;0.6772870689585951;0.700291919708252;36
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text', 'upos'];l1;True;None;0.6511279465609858;0.6616024167914828;0.6539761961658854;0.6533021474265375;0.6438543957478216;0.6527726205385426;0.9095741271972656;58
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text', 'upos'];l1;False;None;0.6456675523285937;0.6585943387968961;0.649588972586951;0.6484457016258712;0.6428807150073883;0.64903545606914;0.9135795116424561;63
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text', 'upos'];l2;True;None;0.6683913989608924;0.6947317277041186;0.6755890551492304;0.6779791661012904;0.6753391903187932;0.678406107646865;0.9071431636810303;33
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text', 'upos'];l2;False;None;0.6683946332477708;0.6918298003954815;0.6723287646786568;0.6774204346336006;0.6745221033299066;0.6768991472570833;0.8901915073394775;39
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text', 'upos'];l1;True;None;0.6526240164095737;0.6631371799388945;0.6544660573994747;0.6528240008667527;0.6453004630027221;0.6536703435234836;0.9130441188812256;57
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text', 'upos'];l1;False;None;0.6466895642962744;0.6601225105736965;0.650579064158133;0.6489248072331472;0.6428785320718406;0.6498388956666183;0.9065319061279297;61
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text', 'upos'];l2;True;None;0.6700994000757091;0.6937177475386194;0.6755600073223129;0.6817701847783388;0.6790758212172022;0.6800446321864364;0.8968253612518311;29
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text', 'upos'];l2;False;None;0.6708446320795797;0.693112764121858;0.6742060679430956;0.6798634055310727;0.6754019040903866;0.6786857547531985;0.8858282566070557;32
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text', 'upos'];l1;True;balanced;0.6824019941201277;0.6980686046623753;0.6894704563570602;0.6903563292544462;0.6885059467334261;0.6897606662254872;0.9341727733612061;15
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text', 'upos'];l1;False;balanced;0.6762459944691366;0.6955412648088724;0.6853198974954002;0.6860773083853806;0.6851709057050133;0.6856710741727607;0.9317528247833252;21
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text', 'upos'];l2;True;balanced;0.6602898840880459;0.690703643167088;0.6737644819675641;0.6798013713860263;0.6803251451551158;0.676976905152768;0.9029861450195312;38
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['text', 'upos'];l2;False;balanced;0.6594527622198983;0.6897745870430044;0.6721363249247959;0.6744162202912447;0.67859876371251;0.6748757316382907;0.8971390724182129;42
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text', 'upos'];l1;True;balanced;0.682613269751155;0.6962513429533224;0.6892853803738733;0.6894821743435765;0.6903401429455729;0.6895944620735;0.9407695770263672;17
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text', 'upos'];l1;False;balanced;0.6742871547586086;0.6936614521009342;0.6842299094586801;0.6847203299193293;0.6856391951167515;0.6845076082708607;0.9348206520080566;22
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text', 'upos'];l2;True;balanced;0.663982872813461;0.695766034930984;0.6743302246628248;0.6830697015435206;0.682701588970785;0.6799700845843152;0.8995292663574219;31
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['text', 'upos'];l2;False;balanced;0.6611320912523515;0.6922475897596999;0.6739822650282832;0.6778146462724158;0.681207719019879;0.677276862266526;0.8975735187530518;37
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l1;True;None;0.6511207264779645;0.6490621897926658;0.655266902710328;0.6561022290586646;0.6413369898718349;0.6505778075822916;0.9285263061523438;60
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l1;False;None;0.6481369394898077;0.6456065039900978;0.6504190137498695;0.6546113274804608;0.6427593955249329;0.6483066360470338;0.9060795307159424;64
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l2;True;None;0.6670336506476753;0.6818456893442486;0.6676751209357478;0.672740143513422;0.6709577171296834;0.6720504643141554;0.8753633975982666;45
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l2;False;None;0.6653247026161399;0.6801267548961101;0.6624413109859763;0.6704809948522932;0.6717148585655704;0.6700177243832179;0.8874570369720459;47
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l1;True;None;0.6511349827109751;0.650059379592395;0.6581082518677528;0.6566195084658532;0.64614816813877;0.6524140581551492;0.9115789413452149;59
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l1;False;None;0.6457540121172669;0.6480375640750867;0.6508910370566433;0.6570551983128488;0.6456683899504148;0.649481240302452;0.8965060234069824;62
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l2;True;None;0.6678882194365348;0.6795592541309003;0.664479621535066;0.6685201385344248;0.6718286837706784;0.6704551834815209;0.8841773509979248;46
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l2;False;None;0.664920268405554;0.6793717895579797;0.6643132780528657;0.668045387903316;0.6708294111587503;0.6694960270156931;0.8898461341857911;49
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l1;True;balanced;0.6780290833564775;0.6895822250755423;0.6826764162412573;0.693324640895918;0.6880478425177304;0.686332041617385;0.9801254749298096;20
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l1;False;balanced;0.6741721177664309;0.6833372513085298;0.6855349103146093;0.6899847675246611;0.6834288333398171;0.6832915760508097;0.9489857196807862;24
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l2;True;balanced;0.6638783161822208;0.6813102845681966;0.6723714840117044;0.6740614999092549;0.6805523845559469;0.6744347938454647;0.9037638187408448;43
{'SYM', 'X', 'CONJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PART', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'NOUN', 'ADV', 'NUM', 'DET', 'INTJ'};['lemma', 'upos'];l2;False;balanced;0.6633919737472017;0.679456051231167;0.6721844875758706;0.6748970176910025;0.6806728634371906;0.6741204787364865;0.9058791160583496;44
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l1;True;balanced;0.6797576564593804;0.6904033969116941;0.6831792848350865;0.6927340192487659;0.6893132878297417;0.6870775290569336;0.9453243255615235;19
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l1;False;balanced;0.6764097098088183;0.6828959961157895;0.684541468236095;0.6894493655502673;0.6842594386565606;0.683511195673506;0.9530690670013428;23
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l2;True;balanced;0.6653527200021198;0.683724053671729;0.6747575006432851;0.673139841045318;0.6800150837799732;0.675397839828485;0.8895161151885986;40
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');['lemma', 'upos'];l2;False;balanced;0.6639834626918819;0.6791109978720282;0.6744581360575648;0.6744002646822955;0.6843083413141956;0.6752522405235932;0.8838414192199707;41
